E47G075006,1,2,3,4,5,6,7
E46G076093,1,2,2,3,4,5,6
E46G068095,1,2,2,2,3,4,5
E47G082008,1,2,2,2,3,4,5
E46G071088,1,2,2,2,3,3,4
E46G079089,1,2,2,3,0,4,5
E47G086001,1,2,3,4,5,5,6
E47G077006,1,2,3,4,5,6,7
E46G060093,1,2,2,2,3,3,4
E47G058008,1,1,1,2,3,3,4
E46G067090,1,2,2,3,4,4,5
E47G069003,1,1,2,3,4,5,6
E46G063091,1,2,2,3,4,4,5
E47G069013,1,0,0,0,0,0,0
E47G071013,1,0,0,0,0,0,0
E46G070087,1,1,1,1,2,2,3
E46G077093,1,2,2,3,4,5,6
E46G069095,1,2,2,2,3,4,5
E46G070096,1,2,3,4,5,6,7
E46G089087,1,2,2,3,3,3,4
E47G071009,1,1,2,3,4,5,6
E46G085087,1,2,2,3,3,3,4
E47G064005,1,2,3,4,5,5,6
E47G073003,1,1,2,3,4,5,6
E46G061093,1,2,2,2,3,3,4
E47G068005,1,1,2,3,4,5,6
E46G091094,1,0,0,0,0,0,0
E47G080006,1,1,2,2,3,4,5
E47G066001,1,2,2,3,4,5,6
E46G083084,0,1,1,2,3,3,4
E47G060002,1,2,2,3,4,5,6
E46G058096,1,1,1,2,3,4,5
E46G085096,1,2,3,4,5,5,6
E46G069092,1,2,2,3,4,4,5
E47G084007,1,0,0,0,0,0,0
E46G079096,1,2,3,4,0,5,6
E47G085003,1,2,2,3,4,5,6
E47G059008,1,1,1,1,2,2,3
E47G072004,1,1,2,3,4,5,6
E47G069005,1,1,2,3,4,5,6
E47G081007,1,2,2,2,3,4,5
E47G066007,1,1,2,3,4,5,6
E47G061004,1,2,2,3,4,5,6
E47G061011,1,1,1,2,3,3,4
E47G080007,1,2,2,2,3,4,5
E47G067013,1,0,0,0,0,0,0
E46G076084,1,1,1,2,3,3,4
E47G073013,1,0,0,0,0,0,0
E46G081090,1,2,2,3,3,3,4
E47G079006,1,1,2,3,4,5,6
E46G083086,1,2,2,3,3,3,4
E46G072086,1,1,1,2,3,3,4
E47G069007,1,1,2,3,4,5,6
